gender,race,population_counts,Year,incident_year,Allegationcounts,ratio,New_ratio
F,Asian/Pacific,23,2007,2007,5,0.217391304,0.782608696
F,Black,846,2007,2007,360,0.425531915,0.574468085
F,Hispanic,374,2007,2007,204,0.545454545,0.454545455
F,Native American/Alaskan Native,6,2007,2007,2,0.333333333,0.666666667
F,White,959,2007,2007,462,0.481751825,0.518248175
M,Asian/Pacific,236,2007,2007,151,0.639830508,0.360169492
M,Black,1882,2007,2007,1357,0.721041445,0.278958555
M,Hispanic,1682,2007,2007,1271,0.755648038,0.244351962
M,Native American/Alaskan Native,32,2007,2007,16,0.5,0.5
M,White,4584,2007,2007,3546,0.773560209,0.226439791
F,Asian/Pacific,24,2008,2008,14,0.583333333,0.416666667
